id,person,originX,originY,destinationX,destinationY,departure_time,travel_time_pt,distance_pt,in_vehicle_time_pt,waiting_time_pt,travel_time_car,distance_car,purpose,car_cost,pt_cost,car_utility,pt_utility,uam_utility_fix,car_generalized_cost,pt_generalized_cost,income,currentMode,hhid,no_car,hh_income<500,hh_income_500_1000,hh_income_1000_2000,hh_income_2000_3000,hh_income_6000_7000,hh_income>7000,age_46_55,age_56_65,age>65,student,others,hhSize,commuting,currentPT,pt_better
1490202,4360495,4408242,5339579,4436797.909,5327040.397,26160,13098,120616.1216,3228,9870,2285.441,41918.62373,HBW,17.94117096,0.81,8.257804997,0.195844,6.73,21.46607913,21.01146101,11548.98,autoPassenger,2097190,0,0,0,1,0,0,0,1,0,0,0,1,3,1,0,0
20,67,4462704.5,5403608,4481626.5,5365813,23760,10309,122656.8452,480,9829,2935.388,54661.3734,HBW,23.39506782,0.81,7.046507647,2.156084,5.79,27.73460902,16.0503465,11069.9112,autoDriver,22,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0
38,114,4458908.5,5402192.5,4428105,5400256.5,73500,1000000,0,500000,500000,2603.381,37696.6748,HBW,16.13417681,0.81,7.949869625,-354.1681827,6.73,26.13370399,3841.787244,28761.2376,autoDriver,47,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
46,132,4457416,5400239,4426097.5,5416253,37020,7978,45588.99746,3802,4176,3348.522,50194.65916,HBW,21.48331412,0.81,6.618626962,-0.213609333,10.82,58.64498911,89.34931469,83101.3272,autoDriver,57,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0
1490234,4360467,4407439.5,5338202,4416227.5,5361328,25560,5517,27351.01549,960,4557,2132.704,28763.02041,HBW,12.31057274,0.81,7.559051254,5.923684,8.71,21.40863537,24.34538584,31943.6232,train,2097178,0,0,0,1,0,0,0,1,0,0,0,0,3,1,1,0
55,166,4457320,5400942.5,4438748,5377294.5,29100,7091,44154.0427,1920,5171,2547.555,35794.66517,HBW,15.32011669,0.81,8.075892429,1.128884,7.49,42.59732208,76.73482338,80175.5856,autoDriver,75,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
1490240,4360648,4407560,5339599.5,4420030.025,5358908.739,45300,6715,27976.99071,831,5884,1895.549,28558.07244,HBW,12.222855,0.81,7.880046252,6.015704,9.99,15.87839451,13.7597828,14440.5024,train,2097259,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0
1490250,4360687,4407424,5339723,4404697,5360045,38700,17734,40858.84864,12832,4902,2373.547,27451.5291,HBW,11.74925445,0.81,8.534429907,-6.655009333,7.49,27.36323095,117.4701122,49258.5384,autoDriver,2097275,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0
1490251,4360687,4407424,5339723,4404697,5360045,32160,14601,55657.28228,4358,10243,2373.547,27451.5291,HBW,11.74925445,0.81,8.534429907,-0.610222667,7.49,27.36323095,96.86020288,49258.5384,autoDriver,2097275,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0
111,335,4457934.5,5400118,4434549,5419207.5,25560,17233,42667.81016,11700,5533,2453.875,37662.50679,HBW,16.11955291,0.81,8.149642685,-5.847516,10.82,21.10973581,35.85490729,15227.544,autoDriver,153,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0
