ID,X,Y,ConstructionCost
0,4475716.253,5342940.41,21843827.16
1,4462167.061,5397617.66,9332203.182
2,4418516.996,5359173.441,13939487.89
3,4504709.102,5328314.16,10502818.64
4,4535513.085,5388586.54,7538691.418
5,4449263.369,5313106.152,20469159.46
6,4465766.142,5335298.414,45556844.97
7,4509432.617,5302526.844,11877486.34
8,4470708.528,5364362.735,13595820.97
9,4497664.306,5361575.171,14626821.74
10,4513029.246,5380388.856,10116193.35
11,4421126.052,5337117.678,10502818.64
12,4445518.472,5342610.532,16516989.83
13,4475802.759,5325509.102,21843827.16
14,4442758.393,5426340.815,7162805.719
15,4480825.16,5380760.865,13595820.97
16,4461188.197,5302967.352,15314155.59
17,4458498.43,5334676.818,45556844.97
18,4398605.494,5371116.521,10867964.75
19,4439419.604,5375375.394,8226025.268
20,4472868.219,5415476.757,7162805.719
21,4447098.755,5393739.497,7753483.246
22,4472374.5,5331586.893,45556844.97
23,4490816.207,5339056.568,10502818.64
24,4511965.262,5348432.257,14626821.74
25,4527916.627,5297405.917,9847703.569
26,4458971.396,5347132.888,14970488.67
27,4486833.055,5306863.757,9847703.569
28,4414450.033,5380800.593,10867964.75
29,4412130.742,5347695.909,10867964.75
30,4463329.185,5327499.874,45556844.97
31,4447334.066,5300961.009,20469159.46
32,4422315.154,5319307.949,10502818.64
33,4513422.413,5277024.33,9847703.569
34,4473915.037,5352634.09,13595820.97
35,4448766.334,5408486.166,7162805.719
36,4528806.477,5362819.457,10116193.35
37,4486896.782,5397477.275,7409816.321
38,4470798.326,5385186.581,9332203.182
39,4481262.503,5362456.04,13595820.97
40,4432636.125,5360947.684,8226025.268
41,4517349.327,5324906.458,9847703.569
42,4450630.521,5336839.25,16516989.83
43,4445174.06,5361028.393,14970488.67
44,4500472.44,5303062.545,9847703.569
45,4418173.054,5353060.389,13939487.89
46,4462749.985,5376674.488,9332203.182
47,4494301.985,5389417.392,10116193.35
48,4513574.039,5396144.224,10116193.35
49,4466826.277,5341256.732,45556844.97
50,4453113.666,5291575.872,11662694.52
51,4438796.208,5317553.639,20469159.46
52,4416062.249,5324150.29,10502818.64
53,4468351.464,5332224.091,45556844.97
54,4499154.77,5350049.459,14626821.74
55,4476264.095,5332170.617,45556844.97
56,4461838.013,5422220.046,7162805.719
57,4458830.012,5404068.333,12564820.19
58,4524661.933,5308020.536,9847703.569
59,4465986.204,5322007.788,21843827.16
60,4454956.775,5383795.681,9332203.182
61,4474488.609,5403694.066,9332203.182
62,4407335.584,5357354.9,10867964.75
63,4499855.151,5294145.743,9847703.569
64,4495598.651,5370250.975,13595820.97
65,4497433.176,5324432.993,10502818.64
66,4526338.917,5368669.884,10116193.35
67,4407045.014,5338371.304,10867964.75
68,4482703.889,5408237.291,7409816.321
69,4437123.774,5332578.922,16516989.83
70,4480383.127,5318799.93,21843827.16
71,4509730.692,5294646.913,9847703.569
72,4468233.242,5348270.846,21843827.16
73,4417156.715,5365925.268,10867964.75
74,4457194.434,5307909.178,15314155.59
75,4483942.848,5329238.376,10502818.64
76,4462923.756,5333234.461,45556844.97
77,4424611.162,5352453.333,8226025.268
78,4477458.561,5304704.155,15314155.59
79,4454595.153,5326873.554,20469159.46
80,4512533.47,5335246.583,7613868.558
81,4415475.754,5359138.111,10867964.75
82,4464179.524,5338171.963,45556844.97
