fromStation,fromNode,toStation,toNode,cruisedistance,vtoldistance
9,uam_st_9_fa,8,uam_st_8_fa,35612.948726551695,1200.0
9,uam_st_9_fa,7,uam_st_7_fa,49645.1501961672,1200.0
9,uam_st_9_fa,1,uam_st_1_fa,81966.18876097632,1200.0
9,uam_st_9_fa,2,uam_st_2_fa,37186.06117888798,1200.0
9,uam_st_9_fa,3,uam_st_3_fa,46246.314242326385,1200.0
9,uam_st_9_fa,4,uam_st_4_fa,28702.54701241686,1200.0
9,uam_st_9_fa,10,uam_st_10_fa,55644.42919106997,1200.0
9,uam_st_9_fa,5,uam_st_5_fa,79017.31129948677,1200.0
9,uam_st_9_fa,6,uam_st_6_fa,63373.34007293603,1200.0
8,uam_st_8_fa,9,uam_st_9_fa,35612.948726551695,1200.0
8,uam_st_8_fa,7,uam_st_7_fa,69398.20946537454,1200.0
8,uam_st_8_fa,1,uam_st_1_fa,67877.78688937935,1200.0
8,uam_st_8_fa,2,uam_st_2_fa,72786.64383662706,1200.0
8,uam_st_8_fa,3,uam_st_3_fa,33487.24034613781,1200.0
8,uam_st_8_fa,4,uam_st_4_fa,40143.17182286422,1200.0
8,uam_st_8_fa,10,uam_st_10_fa,33358.99034743108,1200.0
8,uam_st_8_fa,5,uam_st_5_fa,44253.448633976535,1200.0
8,uam_st_8_fa,6,uam_st_6_fa,64760.11433745311,1200.0
7,uam_st_7_fa,9,uam_st_9_fa,49645.1501961672,1200.0
7,uam_st_7_fa,8,uam_st_8_fa,69398.20946537454,1200.0
7,uam_st_7_fa,1,uam_st_1_fa,65641.48756693437,1200.0
7,uam_st_7_fa,2,uam_st_2_fa,53354.89818189142,1200.0
7,uam_st_7_fa,3,uam_st_3_fa,93418.03607976352,1200.0
7,uam_st_7_fa,4,uam_st_4_fa,29272.71933046194,1200.0
7,uam_st_7_fa,10,uam_st_10_fa,62791.56932264076,1200.0
7,uam_st_7_fa,5,uam_st_5_fa,99344.64817492687,1200.0
7,uam_st_7_fa,6,uam_st_6_fa,33677.00120260116,1200.0
1,uam_st_1_fa,9,uam_st_9_fa,81966.18876097632,1200.0
1,uam_st_1_fa,8,uam_st_8_fa,67877.78688937935,1200.0
1,uam_st_1_fa,7,uam_st_7_fa,65641.48756693437,1200.0
1,uam_st_1_fa,2,uam_st_2_fa,108677.17855189285,1200.0
1,uam_st_1_fa,3,uam_st_3_fa,101310.40071483282,1200.0
1,uam_st_1_fa,4,uam_st_4_fa,56326.11707724934,1200.0
1,uam_st_1_fa,10,uam_st_10_fa,35072.405677398296,1200.0
1,uam_st_1_fa,5,uam_st_5_fa,62057.76941689091,1200.0
1,uam_st_1_fa,6,uam_st_6_fa,32574.863990506547,1200.0
2,uam_st_2_fa,9,uam_st_9_fa,37186.06117888798,1200.0
2,uam_st_2_fa,8,uam_st_8_fa,72786.64383662706,1200.0
2,uam_st_2_fa,7,uam_st_7_fa,53354.89818189142,1200.0
2,uam_st_2_fa,1,uam_st_1_fa,108677.17855189285,1200.0
2,uam_st_2_fa,3,uam_st_3_fa,76257.26276886681,1200.0
2,uam_st_2_fa,4,uam_st_4_fa,52769.887672800665,1200.0
2,uam_st_2_fa,10,uam_st_10_fa,89215.562689477,1200.0
2,uam_st_2_fa,5,uam_st_5_fa,116002.93681196179,1200.0
2,uam_st_2_fa,6,uam_st_6_fa,81887.57762933277,1200.0
3,uam_st_3_fa,9,uam_st_9_fa,46246.314242326385,1200.0
3,uam_st_3_fa,8,uam_st_8_fa,33487.24034613781,1200.0
3,uam_st_3_fa,7,uam_st_7_fa,93418.03607976352,1200.0
3,uam_st_3_fa,1,uam_st_1_fa,101310.40071483282,1200.0
3,uam_st_3_fa,2,uam_st_2_fa,76257.26276886681,1200.0
3,uam_st_3_fa,4,uam_st_4_fa,66238.58067621921,1200.0
3,uam_st_3_fa,10,uam_st_10_fa,66511.15365861579,1200.0
3,uam_st_3_fa,5,uam_st_5_fa,65048.59501941606,1200.0
3,uam_st_3_fa,6,uam_st_6_fa,96270.43879093936,1200.0
4,uam_st_4_fa,9,uam_st_9_fa,28702.54701241686,1200.0
4,uam_st_4_fa,8,uam_st_8_fa,40143.17182286422,1200.0
4,uam_st_4_fa,7,uam_st_7_fa,29272.71933046194,1200.0
4,uam_st_4_fa,1,uam_st_1_fa,56326.11707724934,1200.0
4,uam_st_4_fa,2,uam_st_2_fa,52769.887672800665,1200.0
4,uam_st_4_fa,3,uam_st_3_fa,66238.58067621921,1200.0
4,uam_st_4_fa,10,uam_st_10_fa,39102.41789199231,1200.0
4,uam_st_4_fa,5,uam_st_5_fa,72805.12069902776,1200.0
4,uam_st_4_fa,6,uam_st_6_fa,34671.96967292167,1200.0
10,uam_st_10_fa,9,uam_st_9_fa,55644.42919106997,1200.0
10,uam_st_10_fa,8,uam_st_8_fa,33358.99034743108,1200.0
10,uam_st_10_fa,7,uam_st_7_fa,62791.56932264076,1200.0
10,uam_st_10_fa,1,uam_st_1_fa,35072.405677398296,1200.0
10,uam_st_10_fa,2,uam_st_2_fa,89215.562689477,1200.0
10,uam_st_10_fa,3,uam_st_3_fa,66511.15365861579,1200.0
10,uam_st_10_fa,4,uam_st_4_fa,39102.41789199231,1200.0
10,uam_st_10_fa,5,uam_st_5_fa,37491.34893545443,1200.0
10,uam_st_10_fa,6,uam_st_6_fa,42447.64648363912,1200.0
5,uam_st_5_fa,9,uam_st_9_fa,79017.31129948677,1200.0
5,uam_st_5_fa,8,uam_st_8_fa,44253.448633976535,1200.0
5,uam_st_5_fa,7,uam_st_7_fa,99344.64817492687,1200.0
5,uam_st_5_fa,1,uam_st_1_fa,62057.76941689091,1200.0
5,uam_st_5_fa,2,uam_st_2_fa,116002.93681196179,1200.0
5,uam_st_5_fa,3,uam_st_3_fa,65048.59501941606,1200.0
5,uam_st_5_fa,4,uam_st_4_fa,72805.12069902776,1200.0
5,uam_st_5_fa,10,uam_st_10_fa,37491.34893545443,1200.0
5,uam_st_5_fa,6,uam_st_6_fa,79352.61473322728,1200.0
6,uam_st_6_fa,9,uam_st_9_fa,63373.34007293603,1200.0
6,uam_st_6_fa,8,uam_st_8_fa,64760.11433745311,1200.0
6,uam_st_6_fa,7,uam_st_7_fa,33677.00120260116,1200.0
6,uam_st_6_fa,1,uam_st_1_fa,32574.863990506547,1200.0
6,uam_st_6_fa,2,uam_st_2_fa,81887.57762933277,1200.0
6,uam_st_6_fa,3,uam_st_3_fa,96270.43879093936,1200.0
6,uam_st_6_fa,4,uam_st_4_fa,34671.96967292167,1200.0
6,uam_st_6_fa,10,uam_st_10_fa,42447.64648363912,1200.0
6,uam_st_6_fa,5,uam_st_5_fa,79352.61473322728,1200.0
