station_id,station_name,x,y,z,vtol_z,ground_access_capacity,ground_access_freespeed,flight_access_capacity,flight_access_freespeed,preflighttime,postflighttime,defaultwaittime,numberOfChargers,chargingSpeed
1,station_1,4415928,5359560,0,600,1000,50,500,100,300,180,600,99999,0.0972
2,station_2,4508701,5302957,0,600,1000,50,500,100,300,180,600,99999,0.0972
3,station_3,4515371,5378922,0,600,1000,50,500,100,300,180,600,99999,0.0972
4,station_4,4466324,5334403,0,600,1000,50,500,100,300,180,600,99999,0.0972
5,station_5,4456476,5406539,0,600,1000,50,500,100,300,180,600,99999,0.0972
6,station_6,4431808,5331118,0,600,1000,50,500,100,300,180,600,99999,0.0972
7,station_7,4455515,5307199,0,600,1000,50,500,100,300,180,600,99999,0.0972
8,station_8,4482836,5370993,0,600,1000,50,500,100,300,180,600,99999,0.0972
9,station_9,4494862,5337472,0,600,1000,50,500,100,300,180,600,99999,0.0972
10,station_10,4449502,5369702,0,600,1000,50,500,100,300,180,600,99999,0.0972
